,Jiayuan,Sihe Garden (Lane 1940),Sanhe Garden,Great Wall Unit,Changde Apartment,Shanghai Jince Medical Laboratory Co.LTD,Shanghai Nucleus Gene Huaxi Medical Laboratory,Jiayuan-Shanghai Jince Medical Laboratory Co.LTD-0,Jiayuan-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,Jiayuan-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,Sihe Garden (Lane 1940)-Shanghai Jince Medical Laboratory Co.LTD-0,Sihe Garden (Lane 1940)-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,Sihe Garden (Lane 1940)-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,Sanhe Garden-Shanghai Jince Medical Laboratory Co.LTD-0,Sanhe Garden-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,Sanhe Garden-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,Great Wall Unit-Shanghai Jince Medical Laboratory Co.LTD-0,Great Wall Unit-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,Great Wall Unit-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,Changde Apartment-Shanghai Jince Medical Laboratory Co.LTD-0,Changde Apartment-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,Changde Apartment-Shanghai Nucleus Gene Huaxi Medical Laboratory-1
Jiayuan,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sihe Garden (Lane 1940),1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sanhe Garden,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Great Wall Unit,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Changde Apartment,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Shanghai Jince Medical Laboratory Co.LTD,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Shanghai Nucleus Gene Huaxi Medical Laboratory,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
Jiayuan-Shanghai Jince Medical Laboratory Co.LTD-0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiayuan-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jiayuan-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sihe Garden (Lane 1940)-Shanghai Jince Medical Laboratory Co.LTD-0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sihe Garden (Lane 1940)-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sihe Garden (Lane 1940)-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sanhe Garden-Shanghai Jince Medical Laboratory Co.LTD-0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sanhe Garden-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Sanhe Garden-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Great Wall Unit-Shanghai Jince Medical Laboratory Co.LTD-0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Great Wall Unit-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Great Wall Unit-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Changde Apartment-Shanghai Jince Medical Laboratory Co.LTD-0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Changde Apartment-Shanghai Nucleus Gene Huaxi Medical Laboratory-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Changde Apartment-Shanghai Nucleus Gene Huaxi Medical Laboratory-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
